Roll No.,Professional Elective 1,Professional Elective 2,Core Section
2205175,,,CSE-09
2205176,,,CSE-45
2205177,,,CSE-53
2205179,,,CSE-01
2205180,,,CSE-06
2205183,,,CSE-09
2205184,,,CSE-29
2205185,,,CSE-08
2205186,,,CSE-43
2205188,,,CSE-55
2205189,,,CSE-48
2205190,,,CSE-43
2205191,,,CSE-13
2205192,,,CSE-14
2205193,,,CSE-09
2205194,,,CSE-51
2205195,,,CSE-12
2205196,,,CSE-54
2205197,,,CSE-11
2205198,,,CSE-44
2205199,,,CSE-32
2205200,,,CSE-42
2205201,,,CSE-04
2205202,,,CSE-19
2205203,,,CSE-54
2205204,,,CSE-43
2205205,,,CSE-50
2205206,,,CSE-08
2205207,,,CSE-32
2205208,,,CSE-08
2205209,,,CSE-36
2205210,,,CSE-03
2205211,,,CSE-18
2205212,,,CSE-11
2205213,,,CSE-07
2205214,,,CSE-13
2205215,,,CSE-34
2205216,,,CSE-24
2205217,,,CSE-31
2205219,,,CSE-08
2205220,,,CSE-17
2205222,,,CSE-49
2205223,,,CSE-53
2205224,,,CSE-26
2205225,,,CSE-32
2205226,,,CSE-17
2205227,,,CSE-25
2205228,,,CSE-54
2205229,,,CSE-13
2205230,,,CSE-11
2205231,,,CSE-06
2205232,,,CSE-03
2205233,,,CSE-04
2205234,,,CSE-18
2205235,,,CSE-53
2205236,,,CSE-48
2205238,,,CSE-23
2205239,,,CSE-17
2205240,,,CSE-42
2205241,,,CSE-34
2205242,,,CSE-12
2205243,,,CSE-22
2205244,,,CSE-23
2205246,,,CSE-47
2205247,,,CSE-11
2205248,,,CSE-04
2205249,,,CSE-29
2205251,,,CSE-29
2205252,,,CSE-48
2205253,,,CSE-45
2205254,,,CSE-25
2205255,,,CSE-48
2205256,,,CSE-27
2205257,,,CSE-03
2205258,,,CSE-08
2205260,,,CSE-53
2205261,,,CSE-47
2205262,,,CSE-46
2205263,,,CSE-24
2205264,,,CSE-51
2205266,,,CSE-43
2205267,,,CSE-40
2205269,,,CSE-27
2205270,,,CSE-11
2205271,,,CSE-27
2205273,,,CSE-54
2205274,,,CSE-50
2205275,,,CSE-43
2205276,,,CSE-25
2205277,,,CSE-11
2205278,,,CSE-46
2205279,,,CSE-04
2205280,,,CSE-35
2205281,,,CSE-51
2205282,,,CSE-45
2205283,,,CSE-47
2205284,,,CSE-26
2205286,,,CSE-35
2205288,,,CSE-04
2205289,,,CSE-52
2205290,,,CSE-14
2205291,,,CSE-47
2205292,,,CSE-27
2205293,,,CSE-35
2205294,,,CSE-13
2205295,,,CSE-54
2205296,,,CSE-41
2205297,,,CSE-48
2205298,,,CSE-35
2205299,,,CSE-06
2205300,,,CSE-13
2205301,,,CSE-13
2205302,,,CSE-05
2205303,,,CSE-04
2205304,,,CSE-47
2205305,,,CSE-04
2205306,,,CSE-35
2205307,,,CSE-04
2205308,,,CSE-13
2205309,,,CSE-06
2205310,,,CSE-12
2205312,,,CSE-43
2205313,,,CSE-50
