Roll Number,Professional Elective 1,Professional Elective 2,Core Section
2205185,,,CSE-08
2205186,,,CSE-43
2205188,,,CSE-55
2205189,,,CSE-48
2205190,,,CSE-43
2205191,,,CSE-13
2205192,,,CSE-14
2205193,,,CSE-09
2205194,,,CSE-51
2205195,,,CSE-12
2205196,,,CSE-54
2205197,,,CSE-11
2205198,,,CSE-44
2205199,,,CSE-32
2205200,,,CSE-42
2205201,,,CSE-04
2205202,,,CSE-19
2205203,,,CSE-54
2205204,,,CSE-43
2205205,,,CSE-50
2205206,,,CSE-08
2205207,,,CSE-32
2205208,,,CSE-08
2205209,,,CSE-36
2205210,,,CSE-03
2205211,,,CSE-18
2205212,,,CSE-11
2205213,,,CSE-07
2205214,,,CSE-13
2205215,,,CSE-34
2205216,,,CSE-24
2205217,,,CSE-31
2205219,,,CSE-08
2205220,,,CSE-17
2205222,,,CSE-49
2205223,,,CSE-53
2205224,,,CSE-26
2205225,,,CSE-32
2205226,,,CSE-17
2205227,,,CSE-25
2205228,,,CSE-54
2205229,,,CSE-13
2205230,,,CSE-11
2205231,,,CSE-06
2205232,,,CSE-03
2205233,,,CSE-04
2205234,,,CSE-18
2205235,,,CSE-53
2205236,,,CSE-48
2205238,,,CSE-23
2205239,,,CSE-17
2205240,,,CSE-42
2205241,,,CSE-34
2205242,,,CSE-12
2205243,,,CSE-22
2205244,,,CSE-23
2205246,,,CSE-47
2205247,,,CSE-11
2205248,,,CSE-04
2205249,,,CSE-29
2205251,,,CSE-29
2205252,,,CSE-48
2205253,,,CSE-45
2205254,,,CSE-25
2205255,,,CSE-48
2205256,,,CSE-27
2205257,,,CSE-03
2205258,,,CSE-08
2205260,,,CSE-53
2205261,,,CSE-47
2205262,,,CSE-46
2205263,,,CSE-24
2205264,,,CSE-51
2205266,,,CSE-43
2205267,,,CSE-40
2205269,,,CSE-27
2205270,,,CSE-11
2205271,,,CSE-27
2205273,,,CSE-54
2205274,,,CSE-50
2205275,,,CSE-43
2205276,,,CSE-25
2205277,,,CSE-11
2205278,,,CSE-46
2205279,,,CSE-04
2205280,,,CSE-35
2205281,,,CSE-51
2205282,,,CSE-45
2205283,,,CSE-47
2205284,,,CSE-26
2205286,,,CSE-35
2205288,,,CSE-04
2205289,,,CSE-52
2205290,,,CSE-14
2205291,,,CSE-47
2205292,,,CSE-27
2205293,,,CSE-35
2205294,,,CSE-13
2205295,,,CSE-54
2205296,,,CSE-41
2205297,,,CSE-48
2205298,,,CSE-35
2205299,,,CSE-06
2205300,,,CSE-13
2205301,,,CSE-13
2205302,,,CSE-05
2205303,,,CSE-04
2205304,,,CSE-47
2205305,,,CSE-04
2205306,,,CSE-35
2205307,,,CSE-04
2205308,,,CSE-13
2205309,,,CSE-06
2205310,,,CSE-12
2205312,,,CSE-43
2205313,,,CSE-50
2205314,,,CSE-12
2205315,,,CSE-04
2205316,,,CSE-29
2205317,,,CSE-42
2205318,,,CSE-54
2205319,,,CSE-50
2205320,,,CSE-11
2205321,,,CSE-47
2205322,,,CSE-50
2205323,,,CSE-04
2205324,,,CSE-04
2205325,,,CSE-23
2205326,,,CSE-08
2205327,,,CSE-13
2205328,,,CSE-12
2205330,,,CSE-37
2205331,,,CSE-51
2205332,,,CSE-53
2205333,,,CSE-49
2205334,,,CSE-37
2205335,,,CSE-04
2205336,,,CSE-22
2205337,,,CSE-23
2205338,,,CSE-40
2205339,,,CSE-30
2205340,,,CSE-41
2205341,,,CSE-50
2205342,,,CSE-18
2205343,,,CSE-17
2205344,,,CSE-50
2205345,,,CSE-23
2205347,,,CSE-07
2205348,,,CSE-11
2205349,,,CSE-09
2205350,,,CSE-18
2205352,,,CSE-20
2205353,,,CSE-54
2205354,,,CSE-53
2205355,,,CSE-41
2205356,,,CSE-01
2205357,,,CSE-38
2205358,,,CSE-16
2205360,,,CSE-19
2205361,,,CSE-42
2205362,,,CSE-02
2205363,,,CSE-50
2205364,,,CSE-12
2205365,,,CSE-25
2205366,,,CSE-12
2205367,,,CSE-01
2205368,,,CSE-10
2205370,,,CSE-41
2205371,,,CSE-10
2205372,,,CSE-50
2205373,,,CSE-31
2205374,,,CSE-41
2205375,,,CSE-54
2205376,,,CSE-38
2205378,,,CSE-38
2205379,,,CSE-22
2205381,,,CSE-41
2205382,,,CSE-55
2205383,,,CSE-26
2205384,,,CSE-19
2205386,,,CSE-19
2205387,,,CSE-18
2205388,,,CSE-54
2205389,,,CSE-07
2205390,,,CSE-12
2205391,,,CSE-41
2205392,,,CSE-31
2205393,,,CSE-36
2205394,,,CSE-27
2205395,,,CSE-12
2205397,,,CSE-37
2205398,,,CSE-12
2205399,,,CSE-12
2205401,,,CSE-03
2205402,,,CSE-48
2205403,,,CSE-54
2205405,,,CSE-12
2205406,,,CSE-14
2205407,,,CSE-27
2205408,,,CSE-53
2205409,,,CSE-35
2205410,,,CSE-53
2205411,,,CSE-42
2205412,,,CSE-02
2205413,,,CSE-08
2205414,,,CSE-50
2205415,,,CSE-12
2205416,,,CSE-08
2205417,,,CSE-54
2205418,,,CSE-54
2205419,,,CSE-42
2205420,,,CSE-48
2205421,,,CSE-37
2205422,,,CSE-48
2205423,,,CSE-37
2205424,,,CSE-20
2205425,,,CSE-37
2205426,,,CSE-41
2205428,,,CSE-15
2205429,,,CSE-37
2205430,,,CSE-32
2205431,,,CSE-09
2205432,,,CSE-20
2205433,,,CSE-11
2205434,,,CSE-37
2205436,,,CSE-19
2205437,,,CSE-19
2205438,,,CSE-04
2205439,,,CSE-48
2205440,,,CSE-35
2205441,,,CSE-45
2205442,,,CSE-53
2205443,,,CSE-24
2205444,,,CSE-46
2205445,,,CSE-38
2205446,,,CSE-42
2205447,,,CSE-32
2205448,,,CSE-46
2205449,,,CSE-50
2205450,,,CSE-31
2205451,,,CSE-04
2205452,,,CSE-05
2205453,,,CSE-10
2205454,,,CSE-46
2205455,,,CSE-10
2205456,,,CSE-36
2205458,,,CSE-18
2205459,,,CSE-04
2205460,,,CSE-16
2205462,,,CSE-18
2205463,,,CSE-50
2205464,,,CSE-48
2205465,,,CSE-19
2205466,,,CSE-42
2205467,,,CSE-46
2205468,,,CSE-31
2205469,,,CSE-04
2205470,,,CSE-03
2205471,,,CSE-47
2205472,,,CSE-19
2205473,,,CSE-46
2205474,,,CSE-27
2205476,,,CSE-06
2205478,,,CSE-12
2205480,,,CSE-47
2205481,,,CSE-19
2205483,,,CSE-51
2205484,,,CSE-12
2205485,,,CSE-13
2205486,,,CSE-50
2205487,,,CSE-12
2205488,,,CSE-43
2205489,,,CSE-13
2205490,,,CSE-48
2205491,,,CSE-36
2205492,,,CSE-50
2205493,,,CSE-27
2205494,,,CSE-31
2205495,,,CSE-13
2205496,,,CSE-31
2205497,,,CSE-17
2205498,,,CSE-03
2205499,,,CSE-12
2205500,,,CSE-48
2205501,,,CSE-02
2205502,,,CSE-03
2205503,,,CSE-03
2205504,,,CSE-27
2205505,,,CSE-50
2205506,,,CSE-43
2205508,,,CSE-05
2205509,,,CSE-47
2205510,,,CSE-46
2205511,,,CSE-50
2205512,,,CSE-03
2205513,,,CSE-16
2205514,,,CSE-38
2205515,,,CSE-06
2205516,,,CSE-05
2205517,,,CSE-06
2205518,,,CSE-20
2205519,,,CSE-54
2205520,,,CSE-20
2205521,,,CSE-03
2205522,,,CSE-02
2205523,,,CSE-53
2205524,,,CSE-49
2205525,,,CSE-50
2205526,,,CSE-05
2205527,,,CSE-54
2205528,,,CSE-47
2205529,,,CSE-47
2205531,,,CSE-25
2205532,,,CSE-36
2205533,,,CSE-16
2205534,,,CSE-49
2205535,,,CSE-35
2205536,,,CSE-05
2205537,,,CSE-20
2205538,,,CSE-34
2205539,,,CSE-13
2205540,,,CSE-01
2205541,,,CSE-53
2205542,,,CSE-33
2205543,,,CSE-19
2205544,,,CSE-04
2205545,,,CSE-08
2205546,,,CSE-37
2205548,,,CSE-53
2205549,,,CSE-03
2205550,,,CSE-43
2205551,,,CSE-48
2205552,,,CSE-53
2205553,,,CSE-50
2205554,,,CSE-11
2205555,,,CSE-06
2205556,,,CSE-46
2205557,,,CSE-16
2205558,,,CSE-46
2205560,,,CSE-14
2205561,,,CSE-12
2205562,,,CSE-07
2205563,,,CSE-43
2205564,,,CSE-39
2205565,,,CSE-55
2205566,,,CSE-35
2205567,,,CSE-06
2205568,,,CSE-16
2205569,,,CSE-16
2205570,,,CSE-29
2205571,,,CSE-07
2205572,,,CSE-05
2205573,,,CSE-04
2205574,,,CSE-40
2205575,,,CSE-31
2205576,,,CSE-04
2205577,,,CSE-11
2205578,,,CSE-55
2205579,,,CSE-20
2205580,,,CSE-04
2205581,,,CSE-35
2205582,,,CSE-02
2205584,,,CSE-02
2205585,,,CSE-27
